RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,91%@1479,0%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@44C PMIC@100C GPU@40.5C AO@47C thermal@42.5C POM_5V_IN 3858/3654 POM_5V_GPU 0/20 POM_5V_CPU 1728/1510
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,89%@1479,2%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@41C AO@47.5C thermal@42.5C POM_5V_IN 3858/3658 POM_5V_GPU 0/19 POM_5V_CPU 1685/1513
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,90%@1479,1%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@41C AO@47.5C thermal@42.25C POM_5V_IN 3858/3661 POM_5V_GPU 0/19 POM_5V_CPU 1728/1516
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,91%@1479,2%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@41C AO@47.5C thermal@42.5C POM_5V_IN 3898/3665 POM_5V_GPU 0/19 POM_5V_CPU 1725/1520
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,49%@1479,24%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43.5C PMIC@100C GPU@41C AO@47C thermal@42C POM_5V_IN 3858/3669 POM_5V_GPU 0/18 POM_5V_CPU 1728/1523
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,8%@1479,1%@1479,90%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@43.5C PMIC@100C GPU@41.5C AO@47C thermal@42.5C POM_5V_IN 3898/3672 POM_5V_GPU 0/18 POM_5V_CPU 1725/1527
RAM 2169/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,2%@1479,91%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@43.5C PMIC@100C GPU@41.5C AO@47C thermal@42.5C POM_5V_IN 3858/3675 POM_5V_GPU 0/18 POM_5V_CPU 1728/1530
RAM 2169/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,2%@1479,91%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@43.5C PMIC@100C GPU@41.5C AO@47C thermal@42.5C POM_5V_IN 3858/3678 POM_5V_GPU 0/17 POM_5V_CPU 1725/1533
RAM 2169/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,8%@1479,83%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43.5C PMIC@100C GPU@41C AO@47.5C thermal@42.5C POM_5V_IN 3858/3681 POM_5V_GPU 0/17 POM_5V_CPU 1728/1536
RAM 2169/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,7%@1479,80%@1479,13%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@43.5C PMIC@100C GPU@41.5C AO@47.5C thermal@42.25C POM_5V_IN 3858/3684 POM_5V_GPU 0/17 POM_5V_CPU 1725/1539
RAM 2174/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,11%@1479,1%@1479,83%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43.5C PMIC@100C GPU@41C AO@47.5C thermal@42.5C POM_5V_IN 3858/3686 POM_5V_GPU 0/17 POM_5V_CPU 1725/1542
RAM 2169/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,58%@1479,9%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@43.5C PMIC@100C GPU@41.5C AO@47.5C thermal@42.75C POM_5V_IN 3898/3690 POM_5V_GPU 0/16 POM_5V_CPU 1725/1545
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,2%@1479,91%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@43.5C PMIC@100C GPU@41.5C AO@47.5C thermal@42.5C POM_5V_IN 3858/3692 POM_5V_GPU 0/16 POM_5V_CPU 1688/1547
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,29%@1479,5%@1479,65%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44C PMIC@100C GPU@41.5C AO@47.5C thermal@42.5C POM_5V_IN 3858/3694 POM_5V_GPU 0/16 POM_5V_CPU 1725/1549
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,91%@1479,3%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@39C AO@47.5C thermal@41.5C POM_5V_IN 3898/3697 POM_5V_GPU 40/16 POM_5V_CPU 1685/1551
