RAM 2182/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,96%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@48C PMIC@100C GPU@46C AO@52C thermal@46.75C POM_5V_IN 4006/3886 POM_5V_GPU 0/21 POM_5V_CPU 1802/1694
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,91%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@46C AO@52C thermal@46.75C POM_5V_IN 3972/3887 POM_5V_GPU 0/21 POM_5V_CPU 1762/1695
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,97%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@47C POM_5V_IN 4046/3890 POM_5V_GPU 0/20 POM_5V_CPU 1842/1697
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,91%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52.5C thermal@47C POM_5V_IN 4006/3892 POM_5V_GPU 0/20 POM_5V_CPU 1762/1698
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,95%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@47C POM_5V_IN 3852/3891 POM_5V_GPU 0/19 POM_5V_CPU 1722/1699
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,91%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52.5C thermal@47C POM_5V_IN 3972/3892 POM_5V_GPU 0/19 POM_5V_CPU 1802/1700
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,97%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@48C PMIC@100C GPU@46C AO@52.5C thermal@46.75C POM_5V_IN 3932/3893 POM_5V_GPU 0/19 POM_5V_CPU 1762/1701
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,92%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@47C POM_5V_IN 3932/3894 POM_5V_GPU 0/19 POM_5V_CPU 1762/1702
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,91%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.75C POM_5V_IN 3892/3894 POM_5V_GPU 0/18 POM_5V_CPU 1722/1703
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,94%@1479,3%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@48C PMIC@100C GPU@46C AO@52.5C thermal@47C POM_5V_IN 3966/3895 POM_5V_GPU 0/18 POM_5V_CPU 1802/1704
