RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [99%@1479,1%@1479,4%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4040/3178 POM_5V_GPU 0/81 POM_5V_CPU 1837/963
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [99%@1479,1%@1479,5%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4080/3193 POM_5V_GPU 0/79 POM_5V_CPU 1840/978
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,1%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4040/3207 POM_5V_GPU 0/78 POM_5V_CPU 1837/992
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [69%@1479,4%@1479,34%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@50C PMIC@100C GPU@47.5C AO@53C thermal@47C POM_5V_IN 4040/3220 POM_5V_GPU 0/77 POM_5V_CPU 1840/1006
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [9%@1479,20%@1479,77%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@50C PMIC@100C GPU@47.5C AO@53C thermal@48.5C POM_5V_IN 4040/3233 POM_5V_GPU 0/76 POM_5V_CPU 1840/1019
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [10%@1479,5%@1479,93%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@46C CPU@49.5C PMIC@100C GPU@48C AO@53C thermal@48.5C POM_5V_IN 4040/3246 POM_5V_GPU 0/74 POM_5V_CPU 1840/1032
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [82%@1479,8%@1479,18%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53C thermal@48.25C POM_5V_IN 4080/3258 POM_5V_GPU 0/73 POM_5V_CPU 1876/1045
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [95%@1479,10%@1479,1%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4040/3270 POM_5V_GPU 0/72 POM_5V_CPU 1840/1057
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [98%@1479,2%@1479,3%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4000/3281 POM_5V_GPU 0/71 POM_5V_CPU 1800/1068
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [99%@1479,1%@1479,6%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4006/3292 POM_5V_GPU 0/70 POM_5V_CPU 1840/1079
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,5%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4000/3302 POM_5V_GPU 0/69 POM_5V_CPU 1840/1090
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [99%@1479,0%@1479,4%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.25C POM_5V_IN 4000/3312 POM_5V_GPU 0/68 POM_5V_CPU 1800/1100
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [90%@1479,9%@1479,6%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4040/3322 POM_5V_GPU 0/67 POM_5V_CPU 1840/1111
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,5%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4006/3332 POM_5V_GPU 0/66 POM_5V_CPU 1800/1120
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [99%@1479,1%@1479,5%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4006/3341 POM_5V_GPU 0/65 POM_5V_CPU 1800/1130
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,6%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4006/3350 POM_5V_GPU 0/64 POM_5V_CPU 1800/1139
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [99%@1479,0%@1479,4%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4006/3359 POM_5V_GPU 0/63 POM_5V_CPU 1800/1148
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,6%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 4006/3367 POM_5V_GPU 0/63 POM_5V_CPU 1800/1156
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,6%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 3966/3375 POM_5V_GPU 0/62 POM_5V_CPU 1800/1165
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,4%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 3966/3383 POM_5V_GPU 0/61 POM_5V_CPU 1800/1173
RAM 2131/3956MB (lfb 125x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,6%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@45.5C CPU@49.5C PMIC@100C GPU@47.5C AO@53.5C thermal@48.5C POM_5V_IN 3966/3390 POM_5V_GPU 0/60 POM_5V_CPU 1840/1181
